body,ticket_type,category,sub_category1,urgency,impact
My internet is not  on the job(p),0,1,2,2,4
My internet is not  workings,0,1,2,2,4
My internet is not  working,0,1,2,2,4
Some of the internet will not be  running(a),0,1,2,2,4
My internet will not be  running(a),0,1,2,2,4
My internet will not be  operative,0,1,2,2,4
My internet will not be  functional,0,1,2,2,4
My internet will not be  working(a),0,1,2,2,4
My internet will not be  working(a),0,1,2,2,4
My internet will not be  working(a),0,1,2,2,4
My internet will not be  on the job(p),0,1,2,2,4
My internet will not be  workings,0,1,2,2,4
My internet will not be  working,0,1,2,2,4
All of the internet will not be  running(a),0,1,2,2,4
All of the internet will not be  operative,0,1,2,2,4
All of the internet will not be  functional,0,1,2,2,4
All of the internet will not be  working(a),0,1,2,2,4
All of the internet will not be  working(a),0,1,2,2,4
All of the internet will not be  working(a),0,1,2,2,4
All of the internet will not be  on the job(p),0,1,2,2,4
All of the internet will not be  workings,0,1,2,2,4
All of the internet will not be  working,0,1,2,2,4
Our internet is not  running(a),0,1,2,2,4
Our internet is not  operative,0,1,2,2,4
Our internet is not  functional,0,1,2,2,4
Our internet is not  working(a),0,1,2,2,4
Our internet is not  working(a),0,1,2,2,4
Our internet is not  working(a),0,1,2,2,4
Our internet is not  on the job(p),0,1,2,2,4
Our internet is not  workings,0,1,2,2,4
Our internet is not  working,0,1,2,2,4
The internet has not been  running(a),0,1,2,2,4
The internet has not been  operative,0,1,2,2,4
The internet has not been  functional,0,1,2,2,4
The internet has not been  working(a),0,1,2,2,4
The internet has not been  working(a),0,1,2,2,4
The internet has not been  working(a),0,1,2,2,4
The internet has not been  on the job(p),0,1,2,2,4
The internet has not been  workings,0,1,2,2,4
The internet has not been  working,0,1,2,2,4
Most of the internet could be not  running(a),0,1,2,2,4
Most of the internet could be not  operative,0,1,2,2,4
Most of the internet could be not  functional,0,1,2,2,4
Most of the internet could be not  working(a),0,1,2,2,4
Most of the internet could be not  working(a),0,1,2,2,4
Most of the internet could be not  working(a),0,1,2,2,4
Most of the internet could be not  on the job(p),0,1,2,2,4
Most of the internet could be not  workings,0,1,2,2,4
Most of the internet could be not  working,0,1,2,2,4
My internet has not been  running(a),0,1,2,2,4
My internet has not been  operative,0,1,2,2,4
My internet has not been  functional,0,1,2,2,4
My internet has not been  working(a),0,1,2,2,4
My internet has not been  working(a),0,1,2,2,4
My internet has not been  working(a),0,1,2,2,4
My internet has not been  on the job(p),0,1,2,2,4
My internet has not been  workings,0,1,2,2,4
My internet has not been  working,0,1,2,2,4
My internet is not  running(a),0,1,2,2,4
My internet is not  operative,0,1,2,2,4
My internet is not  functional,0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  on the job(p),0,1,2,2,4
My internet is not  workings,0,1,2,2,4
My internet is not  working,0,1,2,2,4
The internet will not be  running(a),0,1,2,2,4
The internet will not be  operative,0,1,2,2,4
The internet will not be  functional,0,1,2,2,4
The internet will not be  working(a),0,1,2,2,4
The internet will not be  working(a),0,1,2,2,4
The internet will not be  working(a),0,1,2,2,4
The internet will not be  on the job(p),0,1,2,2,4
The internet will not be  workings,0,1,2,2,4
The internet will not be  working,0,1,2,2,4
All of the internet has not been  running(a),0,1,2,2,4
All of the internet has not been  operative,0,1,2,2,4
All of the internet has not been  functional,0,1,2,2,4
All of the internet has not been  working(a),0,1,2,2,4
All of the internet has not been  working(a),0,1,2,2,4
All of the internet has not been  working(a),0,1,2,2,4
All of the internet has not been  on the job(p),0,1,2,2,4
All of the internet has not been  workings,0,1,2,2,4
All of the internet has not been  working,0,1,2,2,4
The internet is not  running(a),0,1,2,2,4
The internet is not  operative,0,1,2,2,4
The internet is not  functional,0,1,2,2,4
The internet is not  working(a),0,1,2,2,4
The internet is not  working(a),0,1,2,2,4
The internet is not  working(a),0,1,2,2,4
The internet is not  on the job(p),0,1,2,2,4
The internet is not  workings,0,1,2,2,4
The internet is not  working,0,1,2,2,4
Our internet could be not  running(a),0,1,2,2,4
Our internet could be not  operative,0,1,2,2,4
Our internet could be not  functional,0,1,2,2,4
Our internet could be not  working(a),0,1,2,2,4
Our internet could be not  working(a),0,1,2,2,4
Our internet could be not  working(a),0,1,2,2,4
Our internet could be not  on the job(p),0,1,2,2,4
Our internet could be not  workings,0,1,2,2,4
Our internet could be not  working,0,1,2,2,4
My internet is not  workings,0,1,2,2,4
My internet is not  working,0,1,2,2,4
My internet is not  running(a),0,1,2,2,4
My internet is not  operative,0,1,2,2,4
My internet is not  functional,0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  on the job(p),0,1,2,2,4
My internet is not  workings,0,1,2,2,4
My internet is not  working,0,1,2,2,4
I cannot connect to  local area network,0,1,2,2,4
I cannot connect to  LAN,0,1,2,2,4
System cannot connecting to  local area network,0,1,2,2,4
System cannot connecting to  LAN,0,1,2,2,4
issues with connecting to  local area network,0,1,2,2,4
issues with connecting to  LAN,0,1,2,2,4
issues with connecting to  local area network,0,1,2,2,4
issues with connecting to  LAN,0,1,2,2,4
System cannot connect to  local area network,0,1,2,2,4
System cannot connect to  LAN,0,1,2,2,4
issues with connect to  local area network,0,1,2,2,4
issues with connect to  LAN,0,1,2,2,4
System cannot connect to  local area network,0,1,2,2,4
System cannot connect to  LAN,0,1,2,2,4
cannot connecting to  local area network,0,1,2,2,4
cannot connecting to  LAN,0,1,2,2,4
issues with connecting to  local area network,0,1,2,2,4
issues with connecting to  LAN,0,1,2,2,4
I cannot connecting to  local area network,0,1,2,2,4
I cannot connecting to  LAN,0,1,2,2,4
I cannot connect to  local area network,0,1,2,2,4
I cannot connect to  LAN,0,1,2,2,4
issues with connect to  local area network,0,1,2,2,4
issues with connect to  LAN,0,1,2,2,4
issues with connecting to  local area network,0,1,2,2,4
issues with connecting to  LAN,0,1,2,2,4
System cannot connect to  local area network,0,1,2,2,4
System cannot connect to  LAN,0,1,2,2,4
System cannot connecting to  local area network,0,1,2,2,4
System cannot connecting to  LAN,0,1,2,2,4
System cannot connect to  local area network,0,1,2,2,4
System cannot connect to  LAN,0,1,2,2,4
issues with connect to  local area network,0,1,2,2,4
issues with connect to  LAN,0,1,2,2,4
cannot connecting to  local area network,0,1,2,2,4
cannot connecting to  LAN,0,1,2,2,4
I cannot connecting to  local area network,0,1,2,2,4
I cannot connecting to  LAN,0,1,2,2,4
cannot connect to  local area network,0,1,2,2,4
cannot connect to  LAN,0,1,2,2,4
cannot connecting to  local area network,0,1,2,2,4
cannot connecting to  LAN,0,1,2,2,4
I cannot connecting to  local area network,0,1,2,2,4
I cannot connecting to  LAN,0,1,2,2,4
I cannot connecting to  local area network,0,1,2,2,4
I cannot connecting to  LAN,0,1,2,2,4
issues with connecting to  local area network,0,1,2,2,4
issues with connecting to  LAN,0,1,2,2,4
System cannot connect to  local area network,0,1,2,2,4
System cannot connect to  LAN,0,1,2,2,4
I cannot connecting to  local area network,0,1,2,2,4
I cannot connecting to  LAN,0,1,2,2,4
I cannot connecting to  local area network,0,1,2,2,4
I cannot connecting to  LAN,0,1,2,2,4
System cannot connect to  local area network,0,1,2,2,4
System cannot connect to  LAN,0,1,2,2,4
I cannot connecting to  wireless local area network,0,1,2,2,4
I cannot connecting to  WLAN,0,1,2,2,4
I cannot connecting to  wireless fidelity,0,1,2,2,4
I cannot connecting to  WiFi,0,1,2,2,4
I cannot connect to  wireless local area network,0,1,2,2,4
I cannot connect to  WLAN,0,1,2,2,4
I cannot connect to  wireless fidelity,0,1,2,2,4
I cannot connect to  WiFi,0,1,2,2,4
cannot connect to  wireless local area network,0,1,2,2,4
cannot connect to  WLAN,0,1,2,2,4
cannot connect to  wireless fidelity,0,1,2,2,4
cannot connect to  WiFi,0,1,2,2,4
System cannot connect to  wireless local area network,0,1,2,2,4
System cannot connect to  WLAN,0,1,2,2,4
System cannot connect to  wireless fidelity,0,1,2,2,4
System cannot connect to  WiFi,0,1,2,2,4
issues with connect to  wireless local area network,0,1,2,2,4
issues with connect to  WLAN,0,1,2,2,4
issues with connect to  wireless fidelity,0,1,2,2,4
issues with connect to  WiFi,0,1,2,2,4
I cannot connecting to  wireless local area network,0,1,2,2,4
I cannot connecting to  WLAN,0,1,2,2,4
I cannot connecting to  wireless fidelity,0,1,2,2,4
I cannot connecting to  WiFi,0,1,2,2,4
I cannot connect to  wireless local area network,0,1,2,2,4
I cannot connect to  WLAN,0,1,2,2,4
I cannot connect to  wireless fidelity,0,1,2,2,4
I cannot connect to  WiFi,0,1,2,2,4
cannot connecting to  wireless local area network,0,1,2,2,4
cannot connecting to  WLAN,0,1,2,2,4
cannot connecting to  wireless fidelity,0,1,2,2,4
cannot connecting to  WiFi,0,1,2,2,4
issues with connect to  wireless local area network,0,1,2,2,4
issues with connect to  WLAN,0,1,2,2,4
issues with connect to  wireless fidelity,0,1,2,2,4
issues with connect to  WiFi,0,1,2,2,4
I cannot connecting to  wireless local area network,0,1,2,2,4
I cannot connecting to  WLAN,0,1,2,2,4
I cannot connecting to  wireless fidelity,0,1,2,2,4
I cannot connecting to  WiFi,0,1,2,2,4
cannot connect to  wireless local area network,0,1,2,2,4
cannot connect to  WLAN,0,1,2,2,4
cannot connect to  wireless fidelity,0,1,2,2,4
cannot connect to  WiFi,0,1,2,2,4
System cannot connect to  wireless local area network,0,1,2,2,4
System cannot connect to  WLAN,0,1,2,2,4
System cannot connect to  wireless fidelity,0,1,2,2,4
System cannot connect to  WiFi,0,1,2,2,4
I cannot connecting to  wireless local area network,0,1,2,2,4
I cannot connecting to  WLAN,0,1,2,2,4
I cannot connecting to  wireless fidelity,0,1,2,2,4
I cannot connecting to  WiFi,0,1,2,2,4
issues with connect to  wireless local area network,0,1,2,2,4
issues with connect to  WLAN,0,1,2,2,4
issues with connect to  wireless fidelity,0,1,2,2,4
issues with connect to  WiFi,0,1,2,2,4
System cannot connecting to  wireless local area network,0,1,2,2,4
System cannot connecting to  WLAN,0,1,2,2,4
System cannot connecting to  wireless fidelity,0,1,2,2,4
System cannot connecting to  WiFi,0,1,2,2,4
I cannot connecting to  wireless local area network,0,1,2,2,4
I cannot connecting to  WLAN,0,1,2,2,4
I cannot connecting to  wireless fidelity,0,1,2,2,4
I cannot connecting to  WiFi,0,1,2,2,4
System cannot connect to  wireless local area network,0,1,2,2,4
System cannot connect to  WLAN,0,1,2,2,4
System cannot connect to  wireless fidelity,0,1,2,2,4
System cannot connect to  WiFi,0,1,2,2,4
issues with connecting to  wireless local area network,0,1,2,2,4
issues with connecting to  WLAN,0,1,2,2,4
issues with connecting to  wireless fidelity,0,1,2,2,4
issues with connecting to  WiFi,0,1,2,2,4
cannot connect to  wireless local area network,0,1,2,2,4
cannot connect to  WLAN,0,1,2,2,4
cannot connect to  wireless fidelity,0,1,2,2,4
cannot connect to  WiFi,0,1,2,2,4
All the sharepoint is not running,0,2,1,2,3
All the sharepoint is not operative,0,2,1,2,3
All the sharepoint is not functional,0,2,1,2,3
All the sharepoint is not working,0,2,1,2,3
All the sharepoint is not on the job,0,2,1,2,3
All the sharepoint is not workings,0,2,1,2,3
All the sharepoint is not working,0,2,1,2,3
issues sharepoint is not running,0,2,1,2,3
issues sharepoint is not operative,0,2,1,2,3
issues sharepoint is not functional,0,2,1,2,3
issues sharepoint is not working,0,2,1,2,3
issues sharepoint is not on the job,0,2,1,2,3
issues sharepoint is not workings,0,2,1,2,3
issues application could not running,0,2,2,2,4
issues sharepoint could not running,0,2,1,2,3
issues sharepoint could not operative,0,2,1,2,3
issues sharepoint could not functional,0,2,1,2,3
issues sharepoint could not working,0,2,1,2,3
issues sharepoint could not working,0,2,1,2,3
issues sharepoint could not on the job,0,2,1,2,3
Our sharepoint could not operative,0,2,1,2,3
Our sharepoint could not on the job,0,2,1,2,3
My application is not functional,0,2,2,2,4
My application is not on the job,0,2,2,2,4
My application is not workings,0,2,2,2,4
issues application could not running,0,2,2,2,4
issues application could not workings,0,2,2,2,4
issues application is not running,0,2,2,2,4
issues application is not functional,0,2,2,2,4
issues application is not working,0,2,2,2,4
issues application is not on the job,0,2,2,2,4
My application is not operative,0,2,2,2,4
My application is not functional,0,2,2,2,4
My application is not on the job,0,2,2,2,4
My application is not workings,0,2,2,2,4
All the sharepoint could not running,0,2,1,2,3
All the sharepoint could not operative,0,2,1,2,3
All the sharepoint could not functional,0,2,1,2,3
All the sharepoint could not working,0,2,1,2,3
All the sharepoint could not on the job,0,2,1,2,3
All the sharepoint could not workings,0,2,1,2,3
issues sharepoint could not running,0,2,1,2,3
issues sharepoint could not operative,0,2,1,2,3
issues sharepoint could not functional,0,2,1,2,3
issues sharepoint could not on the job,0,2,1,2,3
Our application could not running,0,2,2,2,4
Our application could not operative,0,2,2,2,4
Our application could not functional,0,2,2,2,4
Our application could not workings,0,2,2,2,4
issues application could not running,0,2,2,2,4
issues application is not running,0,2,2,2,4
issues application is not workings,0,2,2,2,4
My application is not running,0,2,2,2,4
My application is not functional,0,2,2,2,4
My application is not on the job,0,2,2,2,4
My application is not workings,0,2,2,2,4
issues sharepoint could not running,0,2,1,2,3
issues sharepoint could not operative,0,2,1,2,3
issues sharepoint could not functional,0,2,1,2,3
issues sharepoint could not on the job,0,2,1,2,3
My sharepoint is not running,0,2,1,2,3
My sharepoint is not operative,0,2,1,2,3
My sharepoint is not functional,0,2,1,2,3
My sharepoint is not working,0,2,1,2,3
My sharepoint is not working,0,2,1,2,3
My sharepoint is not working,0,2,1,2,3
My sharepoint is not on the job,0,2,1,2,3
My sharepoint is not workings,0,2,1,2,3
My sharepoint is not working,0,2,1,2,3
Our sharepoint could not running,0,2,1,2,3
Our sharepoint could not working,0,2,1,2,3
Our sharepoint could not on the job,0,2,1,2,3
Our sharepoint could not workings,0,2,1,2,3
My sharepoint could not running,0,2,1,2,3
My sharepoint could not operative,0,2,1,2,3
My sharepoint could not functional,0,2,1,2,3
My sharepoint could not working,0,2,1,2,3
My sharepoint could not on the job,0,2,1,2,3
My sharepoint could not workings,0,2,1,2,3
All the application is not running,0,2,2,2,4
All the application is not working,0,2,2,2,4
All the application is not working,0,2,2,2,4
All the application is not working,0,2,2,2,4
All the application is not on the job,0,2,2,2,4
All the application is not workings,0,2,2,2,4
All the application is not working,0,2,2,2,4
All the application could not running,0,2,2,2,4
All the application could not working,0,2,2,2,4
All the application could not on the job,0,2,2,2,4
All the application is not running,0,2,2,2,4
All the application is not working,0,2,2,2,4
All the application is not working,0,2,2,2,4
All the application is not working,0,2,2,2,4
All the application is not on the job,0,2,2,2,4
All the application is not workings,0,2,2,2,4
All the application is not working,0,2,2,2,4
Our application could not running,0,2,2,2,4
Our application could not operative,0,2,2,2,4
Our application could not functional,0,2,2,2,4
Our application could not workings,0,2,2,2,4
All the application could not running,0,2,2,2,4
issues application could not running,0,2,2,2,4
issues sharepoint could not running,0,2,1,2,3
issues sharepoint could not operative,0,2,1,2,3
issues sharepoint could not functional,0,2,1,2,3
issues sharepoint could not running,0,2,1,2,3
